Age,Cost,Age,Cost,Age,Cost
0,$0.70,35,$0.99,70,$20.62
1,0.41,36,1.01,71,22.72
2,0.27,37,1.04,72,25.07
3,0.19,38,1.06,73,27.57
4,0.13,39,1.07,74,30.18
5,0.13,40,1.10,75,33.05
6,0.14,41,1.13,76,36.33
7,0.15,42,1.20,77,40.17
8,0.16,43,1.29,78,44.33
9,0.16,44,1.40,79,49.23
10,0.16,45,1.53,80,54.56
11,0.19,46,1.67,81,60.51
12,0.24,47,1.83,82,66.74
13,0.28,48,1.98,83,73.07
14,0.33,49,2.13,84,80.35
15,0.38,50,2.30,85,88.76
16,0.52,51,2.52,86,99.16
17,0.57,52,2.81,87,110.40
18,0.59,53,3.20,88,121.85
19,0.61,54,3.65,89,133.40
20,0.62,55,4.15,90,144.30
21,0.62,56,4.68,91,155.80
22,0.64,57,5.20,92,168.75
23,0.66,58,5.66,93,186.44
24,0.68,59,6.06,94,206.70
25,0.71,60,6.51,95,228.35
26,0.73,61,7.11,96,250.01
27,0.76,62,7.96,97,265.09
28,0.80,63,9.08,98,270.11
29,0.83,64,10.41,99,281.05
30,0.87,65,11.90,,
31,0.90,66,13.51,,
32,0.93,67,15.20,,
33,0.96,68,16.92,,
34,0.98,69,18.70,,
