Tax Credit,Reference Source
Adoption credit,Instructions for Form 8839
Credit for child and dependent care expenses,"Pub. 503, Child and Dependent Care Expenses"
Child tax credit (including the additional child tax credit),2024 Instructions for Schedule 8812 (Form 1040)
Credit for other dependents,2024 Instructions for Schedule 8812 (Form 1040)
Earned income credit,"Pub. 596, Earned Income Credit (EIC)"
Education credits,"Pub. 970, Tax Benefits for Education"
Credit for the elderly or the disabled,"Pub. 524, Credit for the Elderly or the Disabled"
Foreign tax credit (except any credit that applies to wages not subject to U.S. income tax withholding because they are subject to income tax withholding by a foreign country),"Pub. 514, Foreign Tax Credit for Individuals"
General business credit,"Form 3800, General Business Credit"
Mortgage interest credit,"Pub. 530, Tax Information for Homeowners"
Qualified electric vehicle credit,Form 8834
Credit for prior year minimum tax (if you paid alternative minimum tax in an earlier year),Instructions for Form 8801
Retirement savings contributions credit (saver's credit),"Pub. 590-A, Contributions to Individual Retirement Arrangements (IRAs)"
Credit to holders of tax credit bonds,Instructions for Form 8912
Premium tax credit,"Pub. 974, Premium Tax Credit (PTC)"
